магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ЛЕНТА обезжиренный, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA High-pro Соленая карамель обезжиренный с высоким содержанием белка, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СЕЛО ЗЕЛЕНОЕ 9%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой СВЕЖЕЕ ЗАВТРА Груша 1,9%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок глазированный ПРОСТОКВАШИНО с какао с шоколадным вкусом 23%, без змж","46,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ЭКОНИВА 1%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный LET'S GO Гранат, малина безлактозный высокобелковый обезжиренный, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный LET'S GO Клубника, банан безлактозный высокобелковый обезжиренный, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЛЕНТА 2,5%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт АКТИБИО с манго и папайей, без сахара 3%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный ZINUS VEGAN Кокос на йогуртной закваске, с змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное БУРЕНКИНО цельное отборное 3,2–6%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный PLANTO Соево-банановый 0,7%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт детский ТЕМА Вишня, черешня 2,5%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Желе РАСТИШКА Мультифрукт,"34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ЭКОНИВА 20%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный РОСТАГРОЭКСПОРТ с ванилином 20%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЧУДО Вишня, черешня 1,9%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное LAPLANDIA несоленое 82,5%, без змж","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ДАНИССИМО Фантазия Соленая карамель с шариками 6,9%, без змж","69,90"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой EPICA с маракуйей и мангостином 2,5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Айран ЛЕНТА Выбор экспертов газированный 0,5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное козье СТОЛЫПИНСКАЯ ФЕРМА цельное 2,8–5,5%, без змж","164,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный DELISSE с малиновой начинкой 26%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЛЕНТА 2,5%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой VIOLA Clean Label Гранат 0,8%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Чернослив 1,5%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский АГУША Малиновый пломбир 2,7%, с 12 месяцев, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное МЗ ПИСКАРЕВСКИЙ 2,5%, без змж","55,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт биокефирный АГУША с малиной 2,9%, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованные КЛЕВЕР топленое 4%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ИМУНЕЛЕ For Kids Малиновый пломбир 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ФРУГУРТ Черника 1%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый PRESIDENT 5%, без змж","234,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Натуральный 1,6%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Полезный завтрак Мандарин, яблоко 5%, без змж","82,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный PRESIDENT Запеканка творожная с ванилью 5,5%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ФРУГУРТ Клубника, малина 2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молочный коктейль детский АГУША Земляника 2%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Crispy Карамель, семена подсолнечника, орехи 10,2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный ультрапастеризованный PARMALAT Спокойной ночи безлактозный 1,8%, без змж","169,99"
