магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Крем МЗ ПИСКАРЕВСКИЙ Сливочный сладкий 15%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ДОМИК В ДЕРЕВНЕ 3,2%","209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг молочный GRAND DESERT Шоколад 5,2%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток на растительной основе VELLE Специальный Кокосовый 1,5%","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с клубникой 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ВКУСНОТЕЕВО 15%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА с грушей 4%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ПРОСТОКВАШИНО 3,2%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Подарочный набор для мальчика PLAY ME Шоколадные шарики, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с ананасом 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный DELISSE Клубника на печенье 26%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО с киви 5,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ВКУСНОТЕЕВО 9%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка детская АГУША Клубника 2,9%, с 12 месяцев, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биолакт для детей ТЕМА 3,2%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное PARMALAT Edge 3,5%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка детская АГУША 3,2%, с 12 месяцев, без змж","44,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное для детей ТЕМА 3,2%, без змж","37,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 15%, без змж","58,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША фруктовый Черника 3,9%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное РОСКАР МЕГА СВ столовое,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Первая ложка Классический 4,5%, с 6 месяцев, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БРЕСТ-ЛИТОВСК 20%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ЛЕНТА 5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС Картошка в молочном шоколаде 20%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ПРОСТОКВАШИНО Греческий 2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток безалкогольный негазированный NAWON Манго с мякотью кокоса и пребиотиком,"97,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ЧУДО Творожок взбитый двухслойный Персик, груша 4,2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное СЕВЕРНОЕ МОЛОКО Вологодское 2,5%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с вареным сгущенным молоком 26%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт NEO Греческий 2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный МЗ ПИСКАРЕВСКИЙ с изюмом 4,5%, без змж","51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биолакт для детей ТЕМА без сахара 3,4%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный NATURA SELECTION Frappe Coffee macchiato Кофе лесной орех 2,6%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО с хрустящими шариками в шоколаде 7,2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Ягодный микс 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо перепелиное ЛЕНТА FRESH с селеном,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное АЛЕКСЕЕВСКОЕ цельное с сахаром 8,5%, без змж ГОСТ","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный TEOS Pro Клубника, высокобелковый, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг молочный СЕЛО ЗЕЛЕНОЕ Шоколад 3%, без змж","37,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масса творожная МЗ ПИСКАРЕВСКИЙ с изюмом 4,5%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Киви и фейхоа 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Пирожное бисквитное KINDER Молочный ломтик с молочной начинкой,"59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЭКОНИВА цельное 3,3–6%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ацидобифилин МЗ ПИСКАРЕВСКИЙ 2,5%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт молокосодержащий 365 ДНЕЙ Сгущенка с сахаром 8,5% с змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Черника, ежевика 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ИСКРЕННЕ ВАШ 5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Белок яичный пастеризованный УДОБНОЕ ЯЙЦО,"199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 3,2%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ACTIMUNO Вишня, черешня 1,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог АНФИСКИНО 9%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Яблоко, банан фруктовый 3,9%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ВЫБОР СЕМЬИ Ваниль 2%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Вишня 2,9%, без змж","41,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка СТОЛЫПИНСКАЯ ФЕРМА 3,2%, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ВЫБОР СЕМЬИ 5%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное OMEGGA3 CО,"149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО Мороженое, грецкий орех, карамель 6,1%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA с вишней и черешней 4,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное БОЛЬШАЯ КРУЖКА 2,5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Сгущенка овсяная SAMUI,"219,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биоpяженка МЗ ПИСКАРЕВСКИЙ 4%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт термостатный ПРОСТОКВАШИНО с черникой 3,4%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное АЛЕКСЕЕВСКОЕ цельное с сахаром 8,5%, без змж ГОСТ","219,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий ПРОСТОКВАШИНО 5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Натуральный 3,5%, без змж","41,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ПРОСТОКВАШИНО с вишней и черешней 2,9%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог мягкий САВУШКИН Нежный 5%, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана СЕВЕРНОЕ МОЛОКО Вологодская 15%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог DANKE безлактозный 5%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША Груша фруктовый 3,9%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ПРОСТОКВАШИНО с клубникой 2,9%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Сок охлажденный J7 Fresh Taste Апельсин,"239,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог детский АГУША фруктовый с клубникой 3,9%, с 6 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА с бананом 4%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с кокосовой стружкой в белой глазури 23%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок САВУШКИН Чизкейк 3,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир БОЛЬШАЯ КРУЖКА 2,5%, без змж","64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок САВУШКИН Черника 3,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СЕЛО ЗЕЛЕНОЕ 5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог 365 ДНЕЙ 5%, без змж","40,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг СЕЛО ЗЕЛЕНОЕ Ваниль 3%, без змж","37,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА FRESH XXL СВ,"134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана РЕЗНОЙ ПАЛИСАД 15%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырники творожные ГАРМОНИЯ, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Трубочка для молока МУМИ Вечерний микс, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное РОСКАР деревенское С1,"234,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский АГУША Клубника, банан 2,7%, с 8 месяцев, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой детский АГУША Черника, брусника, клюква 2,7%, с 8 месяцев, без змж","42,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт EPICA Crispy Фисташки, семена подсолнечника, темный шоколад 10,5%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA High-pro Черника, земляника обезжиренный с высоким содержанием белка, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ Золотая ириска в карамельной глазури 23%, без змж","164,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт АКТИБИО Киви, мюсли 3%, без змж","41,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт VIOLA Very Berry с вишней 2,6%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный NEMOLOKO Классический, обогащенный витаминами и минеральными веществами","93,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ЛЕНТА 3,2%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог BONVIDA 5%, без змж","299,99"
